time_s,human_x,human_y,human_z,robot_x,robot_y,robot_z,R_SFE,R_SAA,R_HR,R_EB,R_WR,R_WFE,R_WAA
0.020865917205810547,1.3194047707285086,0.26991600529718751,-0.50858966228206615,0.069894952179580028,-0.93723677378172165,-0.40358226091298005,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
0.05086994171142578,1.3194930698354963,0.27013731515605094,-0.50856048229450368,0.069900019452066781,-0.9372355850634253,-0.40358086315643898,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
0.0808870792388916,1.3197106926605233,0.26991537296639079,-0.50835475035524502,0.069908845191044927,-0.93723514834447386,-0.40357890808928959,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
0.11089301109313965,1.3198192378580023,0.27044895953051284,-0.50875483555916523,0.069915413548169866,-0.93723338564370673,-0.40357763577185085,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
0.14086008071899414,1.3197303502436171,0.27028769141673331,-0.50841952614739694,0.069921127779879758,-0.93723296453582017,-0.40357566728445143,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
0.17084598541259766,1.3192602659599504,0.27015763849271957,-0.50853074391184605,0.069925700884633221,-0.93723162799519699,-0.40357500163766363,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
0.20087409019470215,1.31977451537167,0.27004055404559774,-0.50840080698752987,0.069929839513545228,-0.93723102075933962,-0.4035743077786263,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
0.23085403442382812,1.3195702444735233,0.27015916697771658,-0.50861104607659269,0.069932861403636956,-0.9372311424411276,-0.40357254076156562,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
0.2608640193939209,1.3194615198682922,0.26982090579038331,-0.5085709854135203,0.06993598784449008,-0.93723100423290051,-0.40357126778631797,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
0.2908759117126465,1.3195128385781099,0.26987425662408066,-0.50876248317824224,0.069939912525774819,-0.93723042345744301,-0.40357039537171696,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
0.32088303565979004,1.3194022917910384,0.27006461328115616,-0.50858222405919662,0.06994194824567522,-0.9372305373330142,-0.40356963894352121,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
0.3508720397949219,1.3192305793110621,0.2699292115869778,-0.5084937135466614,0.069945786480360539,-0.9372298144180804,-0.40356887561164573,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
0.38086986541748047,1.3192038182541461,0.26996758025338696,-0.50803062365511353,0.069949197402426763,-0.93722945781887512,-0.40356811105486901,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
0.4108600616455078,1.3192235824469212,0.26993688536644012,-0.50803508866356761,0.069952651416656131,-0.93722896203142747,-0.40356731072663943,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
0.44088292121887207,1.3194825815237463,0.2698504427261359,-0.50853814502487182,0.069956003155376978,-0.93722851253126738,-0.40356655454485535,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
0.4708569049835205,1.3192236395519616,0.26975044871602882,-0.50864849793609157,0.069958606807177748,-0.93722781399758137,-0.40356604984255451,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
0.5008909702301025,1.3191223881195937,0.26994524055268859,-0.50805283320717598,0.069961394429254295,-0.93722830151974834,-0.40356504770188778,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
0.5308880805969238,1.3193207669862186,0.27009407541643443,-0.50843192989322428,0.069964474717969696,-0.9372278419233212,-0.40356419627200946,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
0.5608868598937988,1.3194064339450366,0.27015166742401658,-0.50861460283966564,0.069967166641503709,-0.93722717805800249,-0.40356399820351246,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
0.5908589363098145,1.3192975354061043,0.27009868968412226,-0.50846012099836557,0.069970756824147426,-0.93722698566373108,-0.40356344738191235,-0.04516228660941124,0.4484536051750183,0.09897337853908539,0.02881094254553318,0.5039361119270325,0.04064927622675896,-0.009786933660507202
