time_s,human_x,human_y,human_z
0.004064083099365234,1.3057583318365689,0.27748510746271471,-0.50870780792954984
0.03405308723449707,1.3057583318365689,0.27748510746271471,-0.50870780792954984
0.06400609016418457,1.3057583318365689,0.27748510746271471,-0.50870780792954984
0.09402203559875488,1.3057583318365689,0.27748510746271471,-0.50870780792954984
0.12403988838195801,1.3057583318365689,0.27748510746271471,-0.50870780792954984
0.1540510654449463,1.3057583318365689,0.27748510746271471,-0.50870780792954984
0.18403291702270508,1.3057583318365689,0.27748510746271471,-0.50870780792954984
0.2140059471130371,1.3057583318365689,0.27748510746271471,-0.50870780792954984
0.2440168857574463,1.3057583318365689,0.27748510746271471,-0.50870780792954984
0.2742149829864502,1.3057583318365689,0.27748510746271471,-0.50870780792954984
0.30414295196533203,1.3057583318365689,0.27748510746271471,-0.50870780792954984
0.334122896194458,1.3057583318365689,0.27748510746271471,-0.50870780792954973
0.36405396461486816,1.3057583318365689,0.27748510746271471,-0.50870780792954984
0.3940250873565674,1.3057583318365689,0.27748510746271471,-0.50870780792954984
0.4240589141845703,1.3057583318365689,0.27748510746271471,-0.50870780792954984
0.45404601097106934,1.3057583318365689,0.27748510746271471,-0.50870780792954984
0.4840240478515625,1.3057583318365689,0.27748510746271471,-0.50870780792954984
0.5140159130096436,1.3084700536946694,0.27515250396637797,-0.50741932986187799
0.5440158843994141,1.3076683511114835,0.27505698886489011,-0.50825742590690548
0.5740249156951904,1.3076423576780356,0.27552565650799715,-0.50754579634618424
0.6042320728302002,1.305238926809638,0.27470035988310232,-0.50970346516692222
0.6340670585632324,1.3044300620583757,0.27446521639324445,-0.50886447296995851
0.6640400886535645,1.304590160069383,0.27410140017856888,-0.50868608317088171
0.6940610408782959,1.3047392576723764,0.27402706647915431,-0.50882195816362841
0.7240450382232666,1.3041189652159046,0.27446896195586323,-0.50893556413697127
0.754586935043335,1.3038217866582253,0.27522525473630605,-0.50833502288526877
0.7840969562530518,1.3034609517783708,0.27587186572422534,-0.50794473033345189
0.8140308856964111,1.3035665612937741,0.27635831608941513,-0.50748401899417983
0.8440408706665039,1.3037924186499446,0.27574875674912003,-0.50788924601143259
0.8741350173950195,1.3035611185738736,0.27443524226380583,-0.509424225479568
0.9040820598602295,1.3038773024350006,0.27356141381610177,-0.50956861244190121
0.9340589046478271,1.3045570805287008,0.27352546819465351,-0.50868632741270903
0.9640159606933594,1.3046982460599108,0.27356774992847632,-0.50862042693047949
0.9940180778503418,1.3070735959255169,0.27447446888682642,-0.50782599475922807
1.0240190029144287,1.3072087019556291,0.27471683414111842,-0.50770036335714641
1.0540220737457275,1.3072240004693803,0.27477506010140312,-0.50769622558849226
1.0840580463409424,1.306870988524959,0.27442785593175717,-0.50798335946130235
1.1140470504760742,1.3068788927371775,0.27445707146213072,-0.50802125234914075
1.1440479755401611,1.3072343870625596,0.27446384244993099,-0.50729376788892544
1.1740810871124268,1.3043288622452704,0.27337816389606828,-0.50902443743579706
1.2041258811950684,1.3072029019843081,0.27480564246626005,-0.50660876215529416
1.234065055847168,1.3077711801759944,0.27537115347431779,-0.50421099434507011
1.2640478610992432,1.3074072709030276,0.27596294665002447,-0.50420079764833803
1.2940409183502197,1.3073528766906151,0.27570940555708762,-0.50545758102712202
1.3240149021148682,1.3075158605839587,0.27560262738408692,-0.50626235160993605
1.3540520668029785,1.3072709332871943,0.2744868209898414,-0.50719937805580639
1.3840649127960205,1.3073837092644813,0.27387679000514598,-0.50786281445516102
1.4140088558197021,1.3073623810852677,0.27472799553573501,-0.5071986467409112
1.4440300464630127,1.3072746719453603,0.27383377855080437,-0.50766221779333898
1.474013090133667,1.3072927286661011,0.2736443231458302,-0.50753376481288393
1.5040299892425537,1.3071705614807834,0.27377471677123055,-0.50720034977526463
1.5340399742126465,1.3073643336335314,0.27393656075494444,-0.50756415011014511
1.5640289783477783,1.3071980044129003,0.27385321204551782,-0.50758575150949259
1.5940189361572266,1.3067665704599798,0.27351317351085147,-0.5076954959586335
1.6240620613098145,1.3070841239941993,0.27348106245895365,-0.5079418052418655
1.6542398929595947,1.3071197671065602,0.27343349129633143,-0.50833692485967852
1.6840908527374268,1.3076952571782134,0.27284118144399583,-0.50909691134059099
1.7140178680419922,1.3070980986915506,0.27302384794137252,-0.50885072427117328
1.7440080642700195,1.3069366889208438,0.27307555841127257,-0.50930322299870723
1.7740528583526611,1.3075972669654137,0.2732076260673022,-0.50923499098350322
1.8040940761566162,1.3072951960220054,0.27338247452769077,-0.5090721587898146
1.8340258598327637,1.3075116901754806,0.27342493040377508,-0.50910862875650387
1.8640060424804688,1.307398330006901,0.27338730257120214,-0.50920285371945351
1.8940339088439941,1.3071596571469497,0.27380328726503511,-0.50816960252747889
1.9240100383758545,1.3076844570227373,0.27458147849219716,-0.50671881140204322
1.9540269374847412,1.308865668767865,0.27502596754731967,-0.50439709974544877
1.9840319156646729,1.3123266378080207,0.27676918521240712,-0.50139198301813415
2.0140159130096436,1.3155104936205255,0.27871306138901941,-0.50016369154283602
2.0440139770507812,1.3179579147628424,0.27977450414388477,-0.50148451447521236
2.0740060806274414,1.3183228907497808,0.27871372566680669,-0.50481930215715454
2.1040689945220947,1.3179433235160074,0.27779554812372242,-0.50646662875066828
2.13413405418396,1.3177685082843542,0.27748722637486006,-0.50621764037225991
2.16405987739563,1.3177075397262952,0.27785628528729295,-0.50685660200727967
2.194053888320923,1.3173652438026604,0.27801365599415068,-0.50708684219159772
2.2240488529205322,1.3174287032807035,0.27811977512973773,-0.5079426419127171
